no,constituency,reserved,electors_2024,shifted_2024
1,Valmiki Nagar,,,
2,Ramnagar,SC,,
3,Narkatiaganj,,,
4,Bagaha,,,
5,Lauriya,,,
6,Nautan,,,
7,Chanpatia,,,
8,Bettiah,,,
9,Sikta,,,
10,Raxaul,,,
11,Sugauli,,,
12,Narkatiya,,,
13,Harsidhi,SC,,
14,Govindganj,,,
15,Kesaria,,,
16,Kalyanpur,,,
17,Pipra,,,
18,Madhuban,,,
19,Motihari,,,
20,Chiraia,,,
21,Dhaka,,,
22,Sheohar,,,
23,Riga,,,
24,Bathnaha,SC,,
25,Parihar,,,
26,Sursand,,,
27,Bajpatti,,,
28,Sitamarhi,,,
29,Runnisaidpur,,,
30,Belsand,,,
31,Harlakhi,,,
32,Benipatti,,,
33,Khajauli,,,
34,Babubarhi,,,
35,Bisfi,,,
36,Madhubani,,,
37,Rajnagar,SC,,
38,Jhanjharpur,,,
39,Phulparas,,,
40,Laukaha,,,
41,Nirmali,,,
42,Pipra,,,
43,Supaul,,,
44,Triveniganj,SC,,
45,Chhatapur,,,
46,Narpatganj,,,
47,Raniganj,SC,,
48,Forbesganj,,,
49,Araria,,,
50,Jokihat,,,
51,Sikti,,,
52,Bahadurganj,,,
53,Thakurganj,,,
54,Kishanganj,,,
55,Kochadhaman,,,
56,Amour,,,
57,Baisi,,,
58,Kasba,,,
59,Banmankhi,SC,,
60,Rupauli,,,
61,Dhamdaha,,,
62,Purnia,,,
63,Katihar,,,
64,Kadwa,,,
65,Balrampur,,,
66,Pranpur,,,
67,Manihari,ST,,
68,Barari,,,
69,Korha,SC,,
70,Alamnagar,,,
71,Bihariganj,,,
72,Singheshwar,SC,,
73,Madhepura,,,
74,Sonbarsha,SC,,
75,Saharsa,,,
76,Simri Bakhtiarpur,,,
77,Mahishi,,,
78,Kusheshwar Asthan,SC,,
79,Gaura Bauram,,,
80,Benipur,,,
81,Alinagar,,,
82,Darbhanga Rural,,,
83,Darbhanga,,,
84,Hayaghat,,,
85,Bahadurpur,,,
86,Keoti,,,
87,Jale,,,
88,Gaighat,,,
89,Aurai,,,
90,Minapur,,,
91,Bochahan,SC,,
92,Sakra,SC,,
93,Kurhani,,,
94,Muzaffarpur,,,
95,Kanti,,,
96,Baruraj,,,
97,Paroo,,,
98,Sahebganj,,,
99,Baikunthpur,,,
100,Barauli,,,
101,Gopalganj,,,
102,Kuchaikote,,,
103,Bhore,SC,,
104,Hathua,,,
105,Siwan,,,
106,Ziradei,,,
107,Darauli,SC,,
108,Raghunathpur,,,
109,Daraunda,,,
110,Barharia,,,
111,Goriakothi,,,
112,Maharajganj,,,
113,Ekma,,,
114,Manjhi,,,
115,Baniapur,,,
116,Taraiya,,,
117,Marhaura,,,
118,Chapra,,,
119,Garkha,SC,,
120,Amnour,,,
121,Parsa,,,
122,Sonpur,,,
123,Hajipur,,,
124,Lalganj,,,
125,Vaishali,,,
126,Mahua,,,
127,Raja Pakar,SC,,
128,Raghopur,,,
129,Mahnar,,,
130,Patepur,SC,,
131,Kalyanpur,SC,,
132,Warisnagar,,,
133,Samastipur,,,
134,Ujiarpur,,,
135,Morwa,,,
136,Sarairanjan,,,
137,Mohiuddinnagar,,,
138,Bibhutipur,,,
139,Rosera,SC,,
140,Hasanpur,,,
141,Cheria-Bariarpur,,,
142,Bachhwara,,,
143,Teghra,,,
144,Matihani,,,
145,Sahebpur Kamal,,,
146,Begusarai,,,
147,Bakhri,SC,,
148,Alauli,SC,,
149,Khagaria,,,
150,Beldaur,,,
151,Parbatta,,,
152,Bihpur,,,
153,Gopalpur,,,
154,Pirpainti,SC,,
155,Kahalgaon,,,
156,Bhagalpur,,,
157,Sultanganj,,,
158,Nathnagar,,,
159,Amarpur,,,
160,Dhoraiya,SC,,
161,Banka,,,
162,Katoria,ST,,
163,Belhar,,,
164,Tarapur,,,
165,Munger,,,
166,Jamalpur,,,
167,Suryagarha,,,
168,Lakhisarai,,,
169,Sheikhpura,,,
170,Barbigha,,,
171,Asthawan,,,
172,Biharsharif,,,
173,Rajgir,SC,,
174,Islampur,,,
175,Hilsa,,,
176,Nalanda,,,
177,Harnaut,,,
178,Mokama,,,
179,Barh,,,
180,Bakhtiarpur,,,
181,Digha,,,
182,Bankipur,,,
183,Kumhrar,,,
184,Patna Sahib,,,
185,Fatuha,,,
186,Danapur,,,
187,Maner,,,
188,Phulwari,SC,,
189,Masaurhi,SC,,
190,Paliganj,,,
191,Bikram,,,
192,Sandesh,,,
193,Barhara,,,
194,Arrah,,,
195,Agiaon,SC,,
196,Tarari,,,
197,Jagdishpur,,,
198,Shahpur,,,
199,Brahampur,,,
200,Buxar,,,
201,Dumraon,,,
202,Rajpur,SC,,
203,Ramgarh,,,
204,Mohania,SC,,
205,Bhabua,,,
206,Chainpur,,,
207,Chenari,SC,,
208,Sasaram,,,
209,Kargahar,,,
210,Dinara,,,
211,Nokha,,,
212,Dehri,,,
213,Karakat,,,
214,Arwal,,,
215,Kurtha,,,
216,Jehanabad,,,
217,Ghosi,,,
218,Makhdumpur,SC,,
219,Goh,,,
220,Obra,,,
221,Nabinagar,,,
222,Kutumba,SC,,
223,Aurangabad,,,
224,Rafiganj,,,
225,Gurua,,,
226,Sherghati,,,
227,Imamganj,SC,,
228,Barachatti,SC,,
229,Bodh Gaya,SC,,
230,Gaya Town,,,
231,Tikari,,,
232,Belaganj,,,
233,Atri,,,
234,Wazirganj,,,
235,Rajauli,SC,,
236,Hisua,,,
237,Nawada,,,
238,Gobindpur,,,
239,Warsaliganj,,,
240,Sikandra,SC,,
241,Jamui,,,
242,Jhajha,,,
243,Chakai,,,
